Office Chair,10000,assets/products/1.png,assets/models/1.glb,Chair,"An ergonomic marvel designed to support long hours of productivity, with adjustable features for personalized comfort, ensuring optimal posture and reducing strain.","Renowned for innovative designs and unparalleled comfort, Herman Miller produces ergonomic office furniture and home furnishings that prioritize quality and functionality. With a legacy of craftsmanship and sustainability, their iconic pieces like the Aeron chair and Eames Lounge chair are synonymous with modern elegance and ergonomic excellence.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Bean Bag,7000,assets/products/2.png,assets/models/2.glb,Chair,"A cozy and versatile seating option, perfect for lounging and relaxation, offering plush comfort and adaptability to any space with its lightweight and mobile design.","A global leader in affordable home furnishings, Ikea revolutionizes interior design with its diverse range of stylish and practical products. From space-saving furniture to modular storage solutions, Ikea offers accessible design for every lifestyle, empowering customers to create personalized and functional living spaces on any budget.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
TV Shelf,12000,assets/products/3.png,assets/models/3.glb,Shelf,"A sleek and functional storage solution for organizing multimedia devices and displaying cherished items, enhancing home entertainment areas while maximizing space efficiency.","A global leader in affordable home furnishings, Ikea revolutionizes interior design with its diverse range of stylish and practical products. From space-saving furniture to modular storage solutions, Ikea offers accessible design for every lifestyle, empowering customers to create personalized and functional living spaces on any budget.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Zenith Console,20000,assets/products/4.png,assets/models/4.glb,Shelf,"A statement piece of furniture blending modern design with timeless elegance, offering ample storage and display options with its refined craftsmanship and exquisite detailing.","A Japanese brand specializing in practical and innovative household products, Iris Ohyama combines cutting-edge technology with user-centric design to simplify everyday living. From storage containers to home appliances, their versatile solutions prioritize functionality, durability, and aesthetics, enriching homes with convenience and efficiency.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Poliform Bed,100000,assets/products/5.png,assets/models/5.glb,Bed,"A luxurious sanctuary for rest and rejuvenation, crafted with premium materials and sophisticated design, providing unparalleled comfort and style for a peaceful night's sleep.","A Japanese brand specializing in practical and innovative household products, Iris Ohyama combines cutting-edge technology with user-centric design to simplify everyday living. From storage containers to home appliances, their versatile solutions prioritize functionality, durability, and aesthetics, enriching homes with convenience and efficiency.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Low-Poly Sofa,40000,assets/products/6.png,assets/models/6.glb,Sofa,"A contemporary masterpiece inspired by geometric aesthetics, featuring clean lines and minimalist allure, offering comfort and visual appeal with its innovative design and streamlined silhouette.","A global leader in affordable home furnishings, Ikea revolutionizes interior design with its diverse range of stylish and practical products. From space-saving furniture to modular storage solutions, Ikea offers accessible design for every lifestyle, empowering customers to create personalized and functional living spaces on any budget.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Terminal Sofa,90000,assets/products/7.png,assets/models/7.glb,Sofa,"A modular seating solution designed for modern living spaces, offering flexibility and customization options to adapt to various arrangements and configurations, while ensuring comfort and style.","A Japanese brand specializing in practical and innovative household products, Iris Ohyama combines cutting-edge technology with user-centric design to simplify everyday living. From storage containers to home appliances, their versatile solutions prioritize functionality, durability, and aesthetics, enriching homes with convenience and efficiency.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Office Desk,20000,assets/products/8.png,assets/models/8.glb,Desk,"A functional centerpiece for productive workspaces, providing ample surface area and storage options to organize essentials and foster concentration, with sleek design elements for a professional ambiance.","Renowned for innovative designs and unparalleled comfort, Herman Miller produces ergonomic office furniture and home furnishings that prioritize quality and functionality. With a legacy of craftsmanship and sustainability, their iconic pieces like the Aeron chair and Eames Lounge chair are synonymous with modern elegance and ergonomic excellence.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Book Shelf,15000,assets/products/9.png,assets/models/9.glb,Shelf,"A versatile storage unit for organizing and displaying literary treasures, adding character and charm to any room while encouraging a love for reading and exploration.","A global leader in affordable home furnishings, Ikea revolutionizes interior design with its diverse range of stylish and practical products. From space-saving furniture to modular storage solutions, Ikea offers accessible design for every lifestyle, empowering customers to create personalized and functional living spaces on any budget.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
Ceiling Lamp,6000,assets/products/10.png,assets/models/10.glb,Lamp,"An illuminating fixture designed to enhance ambiance and functionality, casting a warm and inviting glow while complementing interior décor with its stylish and contemporary design.","A Japanese brand specializing in practical and innovative household products, Iris Ohyama combines cutting-edge technology with user-centric design to simplify everyday living. From storage containers to home appliances, their versatile solutions prioritize functionality, durability, and aesthetics, enriching homes with convenience and efficiency.","By purchasing this item, you are playing a part on making this world a better place. Which too, will bring hapiness and to your life. "
